#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     147    9436.4067     417.9118     452.5352    4501.5488     549.3475     415.7120    2218.5834     880.7679
     148    7467.8019     446.3475     484.9922    3209.3232     747.8996     466.7581    1285.1293     827.3520
     149    6406.9190     571.3907     413.4802    2786.7094     308.4045     262.4607    1342.1995     722.2741
     150    9077.8104     832.1669     536.4160    3909.7033     648.5615     444.9083    1733.7964     972.2580
     151    5377.7141     514.5462     405.0058    2083.8042     358.2953     274.1412    1018.7167     723.2048
     152    5574.1051     367.5896     378.3495    1996.3384     478.3442     387.4072    1236.4198     729.6565
     153    8393.6505     367.7239     416.0078    3624.7371     731.3005     741.8473    1506.3874    1005.6466
     154    5028.3371     380.2913     343.1334    2337.8824     279.9049     251.7894     864.0958     571.2399
     155    5773.0242     324.6521     278.7484    2538.8944     430.9836     359.1991    1130.7971     709.7496
     156    5992.9797     519.6144     336.2675    2708.3099     346.9374     361.3877    1220.6857     499.7771
     157    7554.5414     484.2176     465.1538    3483.7299     537.5231     469.7811    1354.6929     759.4430
     158    6699.2083     334.9387     246.2153    2682.8943     590.0868     478.6418    1418.6628     947.7687
     159    5869.1877     367.0102     304.5405    2194.5104     504.9812     406.8721    1385.5595     705.7138
     160    6585.5031     420.6731     510.3774    2473.3989     504.5433     404.8207    1344.7125     926.9771
     161    5895.9397     475.4321     366.0978    2138.4297     565.3957     437.7441    1227.8880     684.9523
     162    7881.4732     377.5809     448.5688    3509.4875     756.4379     528.8718    1192.8529    1067.6734
     163    6198.5033     359.1728     401.5562    2528.1771     487.9053     465.8834    1212.4067     743.4019
     164    6636.1687     396.7815     390.4306    2587.2184     525.5004     470.2707    1720.1700     545.7971
     165    5233.7920     374.0155     340.3636    2205.3782     378.0462     339.9314     954.3273     641.7298
     166    7922.4028     579.3381     517.2803    3359.4684     447.9473     395.3183    1666.6853     956.3651
     167    5789.3537     444.5438     371.3542    2272.0016     483.8867     380.4359    1307.8692     529.2623
     168    9554.6962     832.8417     650.0564    4221.7922     539.8366     435.4781    1905.2582     969.4329
     169    6184.9555     423.8925     329.9304    2549.0303     403.8673     412.8561    1392.8387     672.5403
     170    6872.7070     752.2000     578.3385    2665.1634     426.3085     410.8129    1385.1681     654.7157
     171    6920.1567     461.3841     330.0484    3022.2301     569.4843     455.4604    1177.7928     903.7567
     172    6799.0290     427.6618     409.1994    3068.4606     411.2842     447.0205    1290.4436     744.9588
     173    7439.8049     469.9375     366.8996    3426.5620     477.0524     353.7159    1424.5127     921.1249
     174    7177.7901     490.8197     369.4326    3087.9695     420.3291     372.1412    1570.5623     866.5355
     175    6566.7425     538.4533     486.5747    2642.2101     609.9873     465.4940    1346.4733     477.5499
     176    7503.0719     668.7044     479.0921    3308.8001     466.8262     357.3271    1132.6776    1089.6445
     177    8345.9392     966.9682     569.5193    3325.3905     375.7512     329.4744    2013.9349     764.9006
     178    5212.8183     346.7720     376.4755    2108.3290     390.2945     306.1951     996.6085     688.1438
     179    5630.7850     391.8181     407.9880    1972.6878     380.4900     423.0022    1497.1756     557.6233
     180    7840.2817     487.5763     466.4126    3374.8147     535.3602     506.3683    1483.5864     986.1631
     181    6426.2269     318.7790     250.4069    2370.5959     622.3901     541.3131    1575.9183     746.8236
     182    5441.0798     401.2659     321.3094    2193.2195     444.7750     338.6074    1020.9511     720.9515
     183    5889.6402     532.6619     356.2989    2168.1699     524.6585     439.0732    1082.8737     785.9040
     184    6614.0782     375.9756     297.2377    2606.1815     538.5549     450.3092    1419.1731     926.6462
     185    5722.6114     336.5896     264.2906    2304.4977     502.1903     404.5718    1130.3055     780.1659
     186    6547.7086     513.0295     490.2821    2907.1468     382.5242     279.4898    1267.9409     707.2952
     187    6937.0298     547.6628     555.1540    2567.1642     566.5031     528.3738    1234.7217     937.4503
     188    5696.5862     399.4023     286.6270    2303.6112     506.6970     424.3372    1118.9757     656.9359
     189    5307.1799     329.7263     260.0673    1840.2530     446.4535     370.0501    1408.4925     652.1371
     190    8088.5511     561.4321     477.2614    3545.4926     678.5459     660.0631    1279.0722     886.6838
     191    6183.6905     409.7788     379.0694    2621.6666     577.1042     428.4274    1041.6377     726.0064
     192    7770.6418     893.4157     522.9982    3511.6188     450.0438     373.3646    1346.7110     672.4897
     193    7287.5861     581.6712     480.3590    3095.2857     455.7937     359.6567    1284.3566    1030.4632
     194    6235.8917     642.3062     427.6503    2557.8328     486.0640     401.8506    1105.4758     614.7120
     195    6159.8154     552.8532     440.9656    2565.2183     357.9932     309.4288    1047.2654     886.0909
     196    7665.0189     498.1966     449.0066    3430.7906     387.0097     335.0387    1805.5937     759.3830
     197    7229.7426     518.7180     403.3201    3009.5507     562.5776     472.2020    1426.7579     836.6162
     198    6659.9701     641.9134     506.5020    2476.9987     469.3870     381.6214    1331.4192     852.1284
     199    6520.2000     511.4218     492.3672    2549.8714     549.6952     460.5548    1112.7431     843.5466
     200    7673.9949     920.7466     710.0706    2749.5966     687.0721     524.8038    1158.3832     923.3220
     201    6375.9858     326.6428     269.3747    2583.5276     570.9092     469.4985    1222.6096     933.4233
     202    5178.9621     432.2916     337.1007    1902.2334     420.2961     308.7594    1247.4868     530.7942
     203    7099.6484     495.4302     415.3786    2892.0479     599.2393     451.8081    1272.9327     972.8117
     204    8089.0525     424.0838     403.2760    3462.8820     537.4736     406.7500    1819.3930    1035.1941
     205    7979.9794     454.9714     424.7342    3651.2092     680.6364     505.9884    1397.2349     865.2050
     206    7914.0058     451.5220     369.0580    3702.2617     626.9603     530.1115    1267.0434     967.0490
     207    8165.9820     780.7991     596.2856    3590.4738     690.9405     592.2599    1169.5558     745.6673
     208    6986.5544     474.3981     426.5677    2765.2570     679.8865     507.8480    1239.7393     892.8578
     209    5816.5661     418.8857     327.6436    2366.9223     501.0278     417.9846    1095.2955     688.8066
     210    7309.8525     436.3954     386.5513    2982.0556     708.9979     608.9535    1173.1243    1013.7745
     211    6659.8270     395.5549     284.1233    2752.1966     654.2999     456.5337    1321.0240     796.0945
     212    7379.6650     568.2899     478.3743    3125.8201     349.2892     356.0715    1929.9783     571.8417
     213    7651.9578     627.4014     654.4931    3141.8012     487.0450     536.8394    1436.9991     767.3787
     214    6434.7091     569.9554     492.9959    2662.2635     484.0791     416.2245    1135.5671     673.6234
     215    6135.5288     313.4766     366.4178    2302.6521     580.8860     472.1350    1277.7860     822.1753
     216    8555.7135     342.1396     359.9194    3804.8496     588.1170     647.7708    1738.3959    1074.5212
     217    6703.3821     454.5148     407.5448    2905.1464     383.8906     349.8408    1351.9886     850.4561
     218    7306.6864     567.0845     378.3714    2882.3444     626.7279     509.8340    1543.4333     798.8908
     219    6419.9330     342.5408     322.0606    2592.7550     580.5904     492.5388    1229.4712     859.9761
     220    6588.4445     362.9417     330.0397    2481.0927     657.8272     555.3450    1286.1856     915.0126
     221    7182.9581     424.2898     438.7298    3261.9241     544.4427     414.0558    1352.2026     747.3132
     222    6519.7222     346.8979     353.8700    2891.5200     361.6068     272.5343    1325.1466     968.1466
     223    7899.6386     557.7878     535.4100    3483.7140     638.1995     529.2563    1223.3836     931.8873
     224    5473.6570     356.7885     325.0212    2471.6710     418.7879     405.9514    1010.2038     485.2332
     225    6818.9653     497.1245     338.8516    2883.8266     598.5953     440.1954    1181.9834     878.3885
     226    4929.6709     341.7512     296.0463    1882.1986     419.1671     330.8688    1027.8519     631.7868
