#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     139    7367.4848     574.3057     392.4927    2632.4044     612.6834     454.6910     313.1993     399.4386    1422.0861     566.1836
     140    7543.6235     450.8800     471.9339    2759.5877     382.3373     266.6079     326.9628     339.9238    1634.4719     910.9182
     141    7311.4732     516.7813     385.8288    2735.1332     503.2331     429.4729     310.0636     315.2383    1343.8803     771.8417
     142    7258.4012     533.1964     580.4972    2976.8739     298.5483     242.6398     263.6042     294.9933    1289.8118     778.2362
     143    7486.4442     600.4112     447.9885    3206.0870     382.1788     287.1854     368.7971     312.2997     875.7581    1005.7383
     144    6609.6497     355.2707     382.6769    2768.5359     412.2328     314.3555     327.9521     219.7142    1208.7728     620.1388
     145    9809.8765     414.7217     515.8635    3415.3986     608.5263     582.4139     444.2950     447.7801    2213.4714    1167.4061
     146    8049.2617     425.8973     683.1715    2689.8412     545.5901     422.4902     321.5217     322.4859    1848.7241     789.5398
     147    8677.2285     438.4083     526.1378    3123.7575     605.8169     344.3636     303.9995     473.5062    1854.9269    1006.3118
     148    9213.4899     651.0513     538.5309    3423.7316     506.7689     467.0093     358.6896     583.3172    1687.7315     996.6596
     149    9266.3929     567.0783     555.2451    3698.9132     550.4768     413.6862     438.5777     363.2365    1629.7018    1049.4773
     150    8543.6916     548.2789     452.8401    3723.7791     466.2972     309.0744     345.5909     372.3568    1227.3034    1098.1707
     151    6040.6414     315.0221     261.9962    1842.5798     507.0564     440.7022     357.0973     296.8205    1205.7959     813.5711
     152    7519.4404     746.3719     425.9460    2788.9104     545.7917     322.5700     235.6373     284.8983    1475.9249     693.3900
     153    7901.4220     431.8293     355.3753    2734.0626     507.9252     437.9242     455.3064     681.1320    1746.5724     551.2947
     154    6895.0566     729.4201     416.3963    1915.8367     410.6490     471.3433     375.8464     403.1070    1383.1881     789.2696
     155    8403.7002     536.3310     536.1094    3016.8100     725.7734     568.2827     472.9115     550.7987    1207.2455     789.4381
     156    8578.8062     435.1751     339.9930    3305.9073     667.3728     528.5400     608.5219     621.5887    1356.5596     715.1478
     157    8767.4828     597.6194     527.2745    3064.3447     517.8339     520.4320     739.9729     593.3916    1370.6380     835.9758
     158    7891.1775     314.3028     313.7075    3220.7866     634.0052     375.2007     294.3381     297.6923    1429.4089    1011.7354
     159    7173.6910     352.5859     331.0940    2795.7247     492.8592     269.9708     221.3143     343.8387    1450.6196     915.6837
