#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      83   10373.8002    1033.5915     367.0377     245.8119     282.0291     294.0947     298.2155     413.8859     312.8362     210.8343     185.5745     208.9356     280.2968     400.7198     451.6829    3166.9273     483.0201    1067.5400     670.7663
      84    8947.3634     350.4908     229.9503     202.5924     205.2925     233.3873     247.2455     259.1964     232.4523     187.6043     187.7207     190.2450     215.0611     239.8573     335.7550    2892.2551     590.3999    1246.3561     901.5014
      85    9051.7954     336.4605     231.5248     208.0911     206.8825     183.4668     156.2669     164.4684     196.5289     282.1960     350.0811     488.7806     317.2704     325.9495     437.2050    2584.5552     438.4980    1368.2113     775.3584
      86    8504.3311     327.2842     256.2847     224.8377     201.8868     245.1462     287.0507     269.7848     247.3855     220.6931     219.4897     252.1060     331.9307     277.5959     276.3718    2723.0862     465.7937     960.9582     716.6453
      87   11700.6853     575.0629     735.2794     517.0887     534.7330     419.3774     264.8481     255.7427     229.4393     190.5927     188.7946     194.6339     237.9648     336.6587     301.4530    3928.0546     557.7721    1318.3435     914.8458
      88   10614.7133     383.2474     262.7036     211.1408     187.3589     198.9123     270.2143     333.4647     594.4147     449.4143     329.1387     300.3179     299.2222     252.2003     318.2921    3438.7671     601.3319    1274.9075     909.6645
      89   10640.9614     372.4274     257.2437     261.4120     351.7212     357.6036     307.2457     290.3477     302.8536     283.3361     380.4974     486.9154     351.1968     308.9677     310.9641    2740.9791     630.2388    1590.3735    1056.6376
      90    9664.8890     575.8433     464.2560     340.6132     277.9219     261.1627     412.6020     526.7290     507.5934     418.1814     274.3582     223.2023     194.3796     206.1727     270.2800    2341.1927     514.4718    1178.7069     677.2218
      91   11376.2062     311.2724     207.5570     179.6775     251.5346     411.5435     464.9165     499.3170     530.9472     558.1152     396.8989     271.1199     256.4269     338.7863     403.9749    3238.6074     443.2231    1553.9188    1058.3693
      92   10809.2359     456.3553     389.4481     419.1239     535.1897     515.3485     485.5004     292.5722     271.1136     281.7225     218.5373     199.8788     183.5120     236.5423     496.4047    2997.3827     494.0650    1304.5936    1031.9452
      93    9052.3449     525.1508     598.0418     558.9622     341.4296     210.5672     220.4133     219.2142     217.0000     211.4981     205.4542     218.6075     216.7706     234.7634     271.1386    2510.3537     420.0739    1297.8709     575.0351
      94   10561.2687     727.7441     546.7876     399.6376     388.5140     460.2255     365.3155     232.8935     229.1433     247.5062     270.5849     240.2479     253.5061     275.0882     381.6251    3271.0220     469.5345    1040.2668     761.6259
      95   12013.9257     763.3975     503.9286     355.8508     269.3931     262.9408     355.8555     448.5030     427.4147     504.9494     398.3591     371.0515     472.6482     422.8198     616.8816    2721.7274     531.1582    1467.3522    1119.6943
      96   11044.1831     326.2171     224.3847     277.3840     351.0942     612.7991     859.6214     694.1466     331.0879     220.4033     207.2248     203.2439     304.5535     389.5722     434.4109    2608.9303     735.2208    1504.8490     759.0394
      97   11005.3514     381.7718     290.7524     237.8803     262.1945     282.6413     451.7796     534.6756     612.8693     530.2383     580.7209     392.6982     265.8326     299.0158     340.1117    2908.9354     558.8211    1285.7024     788.7100
