#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      72   10716.0261     625.4403     515.3737     521.8773     392.2095     387.3457     342.3967     342.5230     240.3744     231.7656     251.6900     246.8773     310.1786     278.1335     296.6920    1397.3747     523.2871    2861.7388     950.7478
      73   11897.2922     325.2997     211.5783     179.3904     170.1822     179.0342     220.5434     286.1708     300.1632     349.3736     581.9754     826.1041     594.4382     278.2715     306.3270    1373.2204     748.5221    4166.8707     799.8270
      74   10804.5724     333.3435     282.0636     305.2533     306.1965     438.6658     420.9886     361.3473     292.0761     253.3603     334.8813     241.7333     184.7234     190.9819     234.0279    1651.0088     700.4173    3429.9596     843.5439
      75   10252.5061     754.2929     404.4634     319.4228     274.4058     248.4505     214.4137     204.6945     257.2713     332.8543     358.6477     367.0166     301.1484     301.2530     346.6241    1258.4045     448.7141    3248.5971     611.8314
      76   11552.3977     531.0953     319.3579     374.5029     503.5595     414.7272     569.2029     550.6185     402.3613     290.7148     253.3002     293.5158     305.2789     300.3552     283.3173    1477.5246     390.2301    3617.4291     675.3060
      77   10986.6243     746.3568     641.3029     371.7880     235.6432     250.5042     242.5934     319.8476     343.0767     293.3345     418.5575     495.3654     514.3869     347.2927     277.9591    1053.6915     502.4700    3037.2871     895.1669
      78   10627.1278     500.7864     475.2660     378.3139     404.0208     277.3961     204.5447     203.5246     198.6876     222.0893     318.7555     384.3611     567.0720     482.6217     371.4213     934.1065     592.9765    3286.3067     824.8771
      79   12601.0814     333.4272     273.1176     258.7061     300.0778     392.1818     402.5420     567.2202     671.8566     475.2604     284.8450     320.7810     245.3850     215.9287     277.5418    1794.1324     508.4848    4405.0474     874.5456
      80    9511.1119     676.1200     385.2761     240.9943     207.5597     328.7329     431.0363     497.6892     393.3613     382.9733     317.0636     299.4224     332.2488     416.9028     594.5993    1295.8956     406.7240    1816.6545     487.8577
      81    9826.3417     368.3463     241.6673     267.9198     285.1743     353.5464     375.3243     384.9747     323.9992     265.6307     387.9038     414.1749     416.7008     282.4075     263.4080    1403.4657     372.9700    2732.5482     686.1798
      82   11424.9651     335.3204     214.7820     233.1047     335.6577     403.2027     366.6743     640.3370     458.9501     305.1421     270.3574     288.3810     323.8404     253.4402     263.6515    1546.6088     830.4842    3646.1820     708.8485
      83   10990.0600     380.2095     582.0555     658.4641     546.3537     386.1864     287.3863     324.3741     278.3207     229.4137     207.4153     238.9204     295.4107     496.6906     612.9977    1170.5599     591.9671    2900.7015     802.6326
