#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
      90    6042.8828     308.8040     198.7632     161.0664     177.1809     227.8631    1009.7318     425.5944    2825.3304     708.5487
      91    6621.4833     708.3455     380.1854     222.3700     236.1831     290.7384    1082.4949     546.9578    2476.7321     677.4761
      92    7238.6709     331.2460     247.7564     314.7972     260.9875     274.4385    1580.7052     620.5906    2800.7338     807.4157
      93    6065.3622     450.9506     265.6571     224.9371     265.8595     450.0470    1018.5176     443.2404    2308.6550     637.4980
      94    6817.1977     310.0931     207.6498     184.4350     226.6871     289.7054    1667.3728     613.6594    2384.5961     932.9990
      95    7890.5467     479.7148     421.5742     389.7449     325.3904     464.8721    1236.2833     398.3995    3132.7006    1041.8669
      96    6696.5680     409.6136     375.8093     329.1930     396.0480     433.8180     908.7655     331.1721    2627.8195     884.3291
      97    6901.6280     762.3628     569.3164     357.8903     414.7361     445.6413     855.2975     285.9457    2389.2594     821.1784
      98    7979.4102     650.5471     337.4907     365.4300     382.3215     384.0623    1621.1359     415.0804    2974.0505     849.2918
      99    5484.1778     322.9531     199.9781     186.9017     194.1752     239.4937     851.5160     316.4172    2479.7371     693.0057
     100    7601.6222     698.5681     318.6570     281.6839     307.5272     318.0644    1612.1801     441.0517    2998.5325     625.3573
     101    7991.9280     596.9530     436.5206     324.4281     396.2059     323.2888    1886.8906     491.1181    2864.2072     672.3157
     102    8027.5577     577.5287     565.0960     476.2804     590.4457     444.6578    1143.3209     443.9228    3069.0855     717.2199
     103    9382.0561     728.3517     519.4031     617.4553     374.5956     332.4709    1767.7240     538.7802    3705.9471     797.3282
     104    5961.8145     334.9305     227.9140     270.1410     360.1456     304.3224    1184.2566     370.0257    2200.5448     709.5339
     105    8756.4862     373.9471     273.5235     241.1261     295.1005     442.6238    2244.0591     625.9774    3470.3970     789.7315
     106    6943.8118     312.5889     203.2720     171.5912     174.6889     216.1379    1132.7944     540.2190    3424.5803     767.9392
     107    6495.0705     389.5269     263.5635     224.1206     185.8695     217.6040    1180.3852     357.4944    2858.3058     818.2006
     108    8145.0677     707.7505     637.6995     443.5786     347.1754     531.0323    1131.3378     416.7854    3125.5583     804.1500
     109    7494.2684     557.2652     301.3920     309.3543     241.6056     318.6269    1512.6675     527.0327    2954.9326     771.3916
     110    8174.5977     713.5767     561.5618     347.5675     260.2617     279.0603    1525.9467     499.1310    2794.4611    1193.0309
     111    8505.6036     772.0633     542.5476     349.4264     219.7257     280.3412    1214.9044     537.7246    3883.8263     705.0441
     112    9416.5145     725.9544     909.8076     638.5959     388.3878     418.3040    1644.1357     771.2980    3134.9634     785.0676
     113    9043.9021     647.4704     538.5228     296.0245     215.0370     368.2040    1989.9791     706.0013    3103.0305    1179.6326
     114    7987.0313     688.6124     570.3661     611.8251     477.8420     375.5920    1143.2713     538.2529    2689.3302     891.9393
     115    8747.9888     679.2094     711.6877     371.8125     259.5229     328.6173    1788.7309     730.0143    2786.8730    1091.5208
     116    8492.1641     431.8133     341.1439     381.5757     479.6118     448.5896    2021.6378     465.2196    3377.0914     545.4810
     117    7889.0861     494.3499     240.5644     264.8882     347.3094     578.3126    1271.6787     514.3584    3337.6018     840.0227
     118    8204.9215     490.0490     458.7103     492.4226     579.3004     387.7188    1402.0397     537.6187    2973.8719     883.1901
     119    7545.3027     575.5087     389.0833     505.7849     385.8287     395.1054    1058.2315     407.1189    2944.5138     884.1276
     120    8010.7968     584.8862     802.9944     527.9669     343.6509     324.9266    1198.0489     529.4065    2837.8047     861.1116
     121    7362.8427     356.9310     268.1380     301.0648     318.8795     409.6188    1409.2424     429.3062    3201.7086     667.9534
     122    7638.6394     705.4302     529.8520     440.3924     425.5887     365.6551    1594.6726     543.9858    2413.5898     619.4729
     123    8344.9078     518.7507     396.3204     296.7326     273.6785     274.7524    1525.4259     519.5253    3731.1564     808.5655
     124    6766.0359     390.8497     360.8794     329.7918     331.2265     335.2672    1112.4154     420.2512    2813.6062     671.7483
     125    7367.6018     511.8289     521.5021     357.5829     310.7766     332.4532    1262.0342     484.1979    2926.3206     660.9055
     126    9646.8168     539.8760     561.2557     440.8218     389.0810     473.7398    1576.5326     608.7992    3977.2058    1079.5048
     127    8562.9920     514.1182     332.1512     272.1299     280.0439     349.4677    1780.4669     594.3842    3321.0906    1119.1394
     128    7457.9391     452.1536     255.7320     231.9283     249.9788     499.3668    1192.0987     453.7105    3356.3041     766.6663
     129    7715.8361     979.0908     326.8666     264.2968     266.5229     259.0460    1224.8578     500.2138    3135.7180     759.2235
     130    6637.5596     495.8958     288.2837     222.6689     231.1781     302.8030    1092.2168     364.7429    2945.6482     694.1222
     131    7062.9538     429.7620     346.4896     297.0956     343.5855     375.3303    1314.2419     437.7747    2807.2287     711.4456
     132    8643.9761     625.1909     522.9320     463.9318     523.6904     482.0613    1615.8146     562.6988    3130.3261     717.3301
     133    6164.2005     501.7886     351.4003     289.6007     284.7587     400.6090    1474.5545     380.8219    1935.8992     544.7676
     134    6780.6859     592.3413     286.5430     230.6670     240.6262     317.6246     981.6924     464.6802    2837.1071     829.4041
     135    9479.9431     677.6541     429.0798     309.6680     411.8899     518.6875    2219.0598     561.1210    3619.7139     733.0691
     136    9602.0366     410.1421     532.8645     364.4064     349.8750     328.6666    2166.1281     509.5801    4041.8895     898.4842
