#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     103    6543.2506     598.2755     375.0194     291.2027     245.6163     321.8724    2637.4057     460.9887     976.0288     636.8411
     104    6612.5797     403.4676     397.9604     327.7030     299.6859     290.0304    2645.9554     464.1018    1143.8491     639.8260
     105    6520.1521     377.6739     229.1296     249.2594     362.9611     436.2226    2631.7896     466.1818     977.4484     789.4857
     106    8176.6171     663.0314     384.7335     345.9326     430.6311     505.9175    3225.8557     448.3541    1230.4982     941.6629
     107    7970.2752     407.9137     314.0977     338.7706     489.1844     624.0712    2720.0577     657.6863    1469.7181     948.7754
     108    6347.5352     333.4848     325.7260     374.3353     445.7087     370.2918    2416.9180     375.5090    1102.9619     602.5996
     109    8318.3107     522.9993     405.9742     588.5928     401.0445     357.9953    3009.9024     533.6715    1772.8823     725.2485
     110    8676.9752     620.3384     557.7438     415.3431     409.0117     340.5199    3331.5452     719.9796    1705.3208     577.1728
     111    7368.4071     816.7599     497.3631     361.8783     338.1478     324.0854    2527.7523     602.0009    1140.4934     759.9260
     112    6930.9450     638.1674     381.9049     309.4333     425.3809     422.1328    2265.1386     452.0507    1414.5447     622.1917
     113    5784.8302     423.1403     320.6011     241.8838     216.3723     288.7061    2163.6921     399.8257    1158.2560     572.3530
     114    6991.0217     359.8272     391.9988     419.3581     368.1668     360.9501    2501.3450     472.8554    1241.1896     875.3307
     115    6245.9551     439.1851     262.7444     316.9863     307.2873     289.3006    2690.0519     414.8873    1006.3330     519.1793
     116    7615.5705     917.2711     576.8069     298.7015     258.2205     248.6325    2565.4011     559.2894    1455.9507     735.2968
     117    6238.8139     612.1389     300.1952     250.3082     235.3397     281.3206    2457.5972     476.9116    1027.4772     597.5251
     118    7836.1522     393.0936     444.8173     460.8166     457.7066     321.7514    3038.8312     460.2153    1413.7242     845.1961
     119    7823.1884     829.5305     519.1562     395.9304     350.3770     387.4413    2675.9243     568.3130    1150.3866     946.1290
     120    7414.3352     392.3706     342.5127     436.6777     467.2650     457.8340    2686.9533     504.8461    1358.9828     766.8930
     121    8069.0185     386.5168     330.9667     377.5756     382.6262     372.7881    3530.2617     612.5968    1231.1120     844.5747
     122    9821.7621     495.6910     544.2666     529.6591     293.4781     356.3360    3578.2939     876.0203    1920.9798    1227.0372
     123    8550.2391     596.9633     436.5706     330.0546     292.3556     349.0642    3164.2218     517.0410    2120.2669     743.7011
     124    7745.0154     627.3460     346.9465     379.1355     484.0570     719.4233    2514.9369     584.9079    1326.0672     762.1950
     125    8215.7448     557.4672     454.0712     290.7739     256.5171     355.2753    3128.3882     497.2444    2031.3573     644.6501
     126    7081.9193     321.4274     250.4732     392.3139     269.6123     290.7275    2582.0741     688.0230    1446.6936     840.5743
     127    7435.5299     392.4579     294.4818     383.4289     566.7210     593.4305    2753.8037     522.5190    1193.4116     735.2756
     128    8358.6158     610.9070     583.3388     573.1624     388.5759     378.8835    3662.8202     478.4645    1049.3777     633.0858
     129    6872.7079     857.1753     481.2365     317.5883     235.3759     249.0171    1974.9588     586.1239    1564.5307     606.7016
     130    9232.7557     467.3942     506.8206     378.5264     251.8315     271.9374    3931.0787     586.3947    1974.7772     863.9950
