#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
      67    8865.6232     416.3270     439.5853    1640.0021     416.1974     271.2803     336.1155     341.6666     441.1466     390.4206     371.6910    2933.1733     868.0176
      68    8891.8698     646.3617     472.5071    1842.5373     475.2586     361.5139     221.1730     191.1231     197.5019     288.8245     347.8110    3010.3562     836.9015
      69   10428.5815     528.5027     633.4294    2114.4462     612.9335     367.4562     408.5259     455.3078     490.0327     358.9870     286.9687    3344.0377     827.9537
      70    8926.9305     486.8883     485.1026    1257.2171     370.2104     268.6625     246.6566     413.9831     529.9983     327.8964     279.4287    3551.8782     709.0084
      71    8496.0852     509.5360     333.4245    1502.1133     544.8046     292.0008     214.3037     254.3791     393.6836     454.1828     432.1600    2846.8533     718.6434
      72    7373.4899     553.8537     491.2497    1258.2374     335.4912     219.6211     200.2669     194.5375     206.2547     242.9744     314.5927    2426.9887     929.4220
      73    6677.2143     334.4886     282.8686    1139.8051     452.8271     306.5873     231.3784     215.0602     199.7889     202.6036     256.5156    2535.0337     520.2573
      74    9869.7350     541.6090     456.6847    1539.5208     549.7653     341.2503     417.7483     446.2432     358.5010     340.2479     344.2021    3713.4094     820.5530
      75    9120.3868     694.3653     360.6803    1237.6147     724.1990     427.6599     286.4378     227.3343     241.5872     233.1640     354.9387    3385.3793     947.0263
      76    8998.6685     605.5376     550.8638    1886.5265     345.2517     226.6402     276.0918     407.6840     408.6255     317.0972     324.4278    2699.2581     950.6644
      77    8574.2304     675.8788     590.2443    1198.6345     492.2302     435.5647     436.1914     320.5193     211.9355     212.5556     270.3427    2766.2173     963.9162
      78    8424.7486     653.3319     490.5850    1674.2153     345.0450     261.5315     206.7590     289.4533     372.4830     461.6871     435.3747    2498.7387     735.5441
      79    9254.8260     442.2910     421.8313    1771.0795     517.1583     437.7477     335.4116     341.7386     344.5959     423.2561     406.5353    3067.3933     745.7874
