#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     190    7371.8021     669.2295     329.0059     409.3805    1196.8826     623.7124    3203.0278     940.5634
     191    7456.9177     748.8083     540.0609     570.3731    1571.0030     653.4362    2542.3625     830.8737
     192    5209.4147     420.1091     248.6433     289.4348    1055.9784     397.2351    2302.7686     495.2453
     193    7753.9113     579.6629     302.5437     305.9649    1731.0823     540.8067    3552.2749     741.5759
     194    7755.4012     684.6189     555.9746     419.0820    1417.6305     576.0417    3253.9726     848.0808
     195    7230.3530     722.4080     420.5423     361.4011    1536.0786     565.4318    2756.5270     867.9642
     196    6916.4586     380.6202     382.9456     591.7802    1450.9348     538.5573    2672.0987     899.5218
     197    6760.6609     327.0590     219.1498     240.7727    1638.8145     627.8937    2708.2538     998.7173
     198    7640.9344     366.2897     322.9179     299.1609    1879.2371     604.4248    3237.2301     931.6738
     199    5765.7151     378.4057     255.5976     279.4649    1321.6211     531.0554    2215.8346     783.7358
     200    4800.7236     344.9675     259.5447     259.8793    1174.3786     353.4155    1805.3847     603.1533
     201    6472.7032     614.7777     322.0749     276.5065    1201.2238     431.8705    2904.5289     721.7209
     202    6695.3058     309.2624     310.0459     325.0006    1306.1996     591.6990    3156.0944     697.0040
     203    7791.6639     508.8580     413.1135     325.8627    2011.2652     621.5326    3360.8510     550.1808
     204    7816.2605     779.3459     427.8854     392.2919    1711.0194     521.2742    2868.5374    1115.9062
     205    7470.2249    1089.8915     531.4200     333.8778    1291.2497     584.4671    2843.8607     795.4581
     206    6845.1859     898.7854     392.8998     375.2543    1255.5781     559.0666    2577.6887     785.9132
     207    6110.9119     755.5772     431.6717     289.2816    1075.3444     398.8066    2359.6270     800.6035
     208    5663.8661     489.7976     255.7517     271.9080    1023.4981     394.4915    2549.9665     678.4528
     209    6891.7306     411.1820     331.9860     389.1895    1428.3917     408.1035    3294.5634     628.3145
     210    7148.7956     356.2238     250.1613     242.5437    1598.2794     705.1162    3183.8679     812.6034
     211    5657.3609     310.2985     249.1373     361.0230    1188.0483     455.1095    2381.2773     712.4670
     212    5775.8548     311.8022     258.6923     352.6967    1334.2624     552.7719    2122.8731     842.7562
     213    6531.9896     358.0592     278.2073     273.7279    1482.6217     548.4356    2704.1662     886.7716
     214    6206.8278     631.9739     451.6843     434.6444     823.2858     335.5467    2583.5168     946.1759
     215    6994.0247     837.7035     536.1345     430.9172    1134.9073     453.7817    2850.4148     750.1657
     216    6890.0851     583.4406     305.1567     262.2145    1241.9591     379.0294    3300.9374     817.3474
