#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016
      51    8852.8034     636.4732     313.4737     284.7136     228.4334     237.1678     251.1954     220.3986     190.9223     199.4024     273.3684     282.0701    1434.9179     602.4490    2897.9144     799.9034
      52    9936.1330     508.8583     453.7090     354.4901     229.9256     177.7792     163.5056     177.6058     199.9121     344.4811     457.8036     429.4801    1214.7938     591.2360    3559.1447    1073.4081
      53   10083.1344     352.9191     230.2965     256.7744     317.6575     408.8401     492.6500     598.7849     400.4447     426.4729     299.9007     363.1606    1921.3265     591.2497    2432.5549     990.1020
      54    8809.2623     348.8909     279.5391     348.8387     572.5551     615.2570     400.1218     316.0010     196.9468     182.1133     199.3825     302.4043    1574.1620     589.2410    2067.7701     816.0386
      55   11289.5142     751.5464     635.2241     450.1344     298.2793     261.3893     266.6335     301.8776     361.0323     333.9306     348.9922     359.5671    1777.8871     673.2589    3288.5183    1181.2431
      56   11163.3719     539.2867     606.6799     474.1588     471.4270     406.9944     261.9594     262.7405     455.8658     619.1458     502.6385     536.4832    1453.0516     507.0541    3155.3338     910.5525
      57   10693.8929     372.5386     248.3764     231.1627     380.5552     449.1359     471.5452     518.2971     495.5242     358.0089     400.0272     368.7917    1462.8189     515.6711    3433.2130     988.2269
      58    8936.2888     482.2421     400.7205     315.0321     300.5737     317.3723     288.1672     249.6652     229.1521     222.6360     259.0905     357.3404    1793.0921     507.6665    2531.0564     682.4818
      59   11914.4910     824.8266     931.2052     591.5765     461.5479     373.4356     466.6773     387.6285     470.4883     394.2647     359.5781     327.7283    1514.6706     642.5617    3018.3300    1149.9717
      60    9578.2980     469.3748     297.3789     403.2296     534.0409     414.3294     259.9961     221.9879     242.8995     461.4748     372.5529     297.8848    1587.6465     347.9929    2592.3849    1075.1242
      61   10001.0948     384.7209     433.1744     501.4284     445.6833     381.2557     385.8576     367.5857     496.6927     419.7958     335.6909     343.3225    1187.7474     569.8500    3064.7597     683.5296
      62    8803.1153     526.8085     395.0469     401.0461     339.1192     273.6544     242.8700     287.9936     289.4321     276.2703     277.8238     324.7196    1420.4195     490.1415    2608.1865     649.5834
      63    8606.7890     576.5718     406.6328     309.5081     206.3194     207.4220     247.8155     263.8899     313.2624     306.0447     233.9236     291.7245    1049.0367     522.1807    2785.3910     887.0659
      64    8166.7585     583.7178     378.3799     297.5066     220.5878     203.8658     208.7436     198.6031     182.4616     182.7232     196.3363     236.9994    1037.2023     399.4260    2898.9635     941.2415
      65   11027.2008     679.7702     819.8082     453.9282     278.6051     246.4906     198.4204     195.0039     210.7584     280.1446     379.6043     376.9264    1503.0764     652.9398    3909.8528     841.8714
      66    7582.6475     334.7421     214.0028     176.1349     221.9125     254.5354     265.3280     249.1832     193.8128     177.4671     202.8022     203.8777    1017.6186     373.4949    3036.2274     661.5079
      67    8409.6906     323.0352     234.6335     227.8126     248.2376     262.4400     298.4288     434.9633     466.2858     351.9164     245.9196     258.5403    1175.3471     543.1612    2797.9044     541.0645
      68    7759.3371     391.5860     346.4739     370.7924     267.4341     240.3841     238.9964     271.6380     294.8878     252.5883     235.2319     285.3642    1017.4408     306.8961    2503.8498     735.7732
      69    8525.3127     309.7208     200.9081     171.9063     163.3973     159.7298     270.0802     454.7234     453.1961     354.8450     213.8282     214.7016    1331.8620     464.1336    2915.6858     846.5946
      70   10767.4715     731.1058     429.4183     487.4659     429.4255     477.0764     519.1723     358.1333     295.4675     270.9581     278.1303     296.8939    1698.0475     541.7127    3046.7838     907.6802
      71    8231.3006     491.4147     308.2241     288.2884     270.4883     249.8440     211.9701     235.7413     213.4322     250.1967     338.6970     306.1375    1060.5858     344.4127    2691.0334     970.8344
      72    9863.7503     570.0712     775.6682     573.9326     379.8725     250.9949     197.9097     199.9415     205.1668     218.4896     254.8617     381.0232    1580.9836     571.0390    3162.9244     540.8712
      73   11547.4432     804.3880     780.4627     561.3113     432.2991     300.3041     285.1015     286.2407     372.6742     374.3012     314.8481     520.6582    1780.8462     671.5596    3314.4278     748.0206
      74    8005.1830     319.5789     235.5316     248.9572     293.5603     272.0800     190.8462     185.2418     230.8581     227.5031     213.3107     273.0935     901.5505     396.8938    3271.7250     744.4522
      75   10515.8147     363.3394     293.2535     357.7607     379.0839     355.0850     421.6008     749.8503     785.5219     397.2993     375.7345     308.6467    1260.0536     415.8967    3114.5589     938.1294
      76    8063.9383     290.4382     194.1841     178.8039     155.2821     169.6058     185.2124     223.5638     428.9636     592.6840     423.6878     361.7337    1016.4942     448.4246    2755.3174     639.5428
      77    8709.1995     501.3721     405.7563     340.1132     425.2762     345.8940     268.9205     225.9993     235.3623     257.1938     248.9622     298.0858    1235.3468     492.1409    2772.1498     656.6265
      78    9883.1729     445.5264     526.7802     412.2240     302.0737     261.8262     424.8200     626.1576     342.7913     310.0103     306.2889     358.3514    1434.0757     551.5736    3104.9787     475.6950
      79   11518.5561     315.4453     288.3149     308.7265     385.5243     311.2689     358.6303     410.1891     447.6720     407.1155     440.0184     401.0885    1558.2196     505.5358    4454.7326     926.0743
      80   10609.0993     496.0517     256.3732     203.0594     209.9559     267.8781     287.5167     421.8153     510.9273     516.4435     504.0239     596.6943    1578.7855     507.0110    3041.5981    1210.9651
      81   10941.4074     480.0871     592.6359     854.8569     675.8421     484.9455     341.1621     276.9634     349.6663     368.2561     299.7711     366.6722    1809.4748     669.2540    2609.7261     762.0937
      82    9715.6802     827.5019     396.8847     343.6010     354.4621     314.8985     350.1432     358.8818     222.0869     194.2404     257.5396     372.3524    1203.9782     609.3145    3262.7453     647.0497
      83   10045.5460     420.0786     366.4586     367.7694     416.0933     534.7009     387.2354     222.2100     181.7059     199.6505     333.0894     555.5349    1655.8210     666.3419    3000.7252     738.1308
      84    9814.7709     311.5545     201.5501     221.1785     279.4844     381.7523     293.5009     213.6540     234.8651     317.8652     283.0177     305.7584    1592.1702     558.9653    3790.0377     829.4165
      85    9812.2633     349.6969     296.0030     283.2477     277.8847     295.4445     359.3062     353.5696     322.4731     493.9873     394.5953     408.5688    1978.1040     512.4670    3012.2146     474.7006
      86   11110.9419     544.0034     291.6376     235.5670     269.4900     402.9578     612.1900     526.0316     509.5215     377.0140     432.1027     405.2383    1587.0900     560.1582    3531.2516     826.6882
      87    8657.3545     369.6142     317.4312     266.9385     219.4080     266.6353     387.5242     324.8830     252.9371     251.7310     260.2130     260.5142    1194.3145     447.1836    2932.9459     905.0806
      88    8608.3720     497.0302     292.2236     301.0081     261.1182     243.1612     212.0967     206.6206     203.4492     206.2573     268.6733     367.7748    1491.6646     595.4511    2593.2311     868.6121
      89   10907.0786     689.1613     433.3962     372.2443     372.5308     307.9124     313.8225     608.9792     922.1085     668.5117     332.1766     308.0123    1475.1891     660.7410    2558.1284     884.1643
      90    9235.8732     597.1552     368.0127     286.5349     230.3239     212.0449     232.3410     362.8019     450.0983     371.8652     435.9865     621.6254    1312.8359     482.9002    2501.1090     770.2382
      91    9579.1551     325.2103     314.5163     333.8248     537.9826     433.5824     362.9269     253.0015     216.3420     254.9879     359.2114     385.4205    1366.2820     381.7103    3258.3738     795.7824
      92    7984.0416     503.4518     263.6259     214.8210     204.2718     228.8596     298.0362     307.1786     340.2881     322.3560     365.7368     424.8477    1189.6941     503.7530    2259.4850     557.6360
      93   10392.1682     488.7055     325.6066     427.9744     349.4343     349.8093     484.4300     441.1687     321.8084     304.6038     416.1470     380.2647    1316.0452     664.7719    3441.0869     680.3115
      94   10152.9660     442.6238     365.1682     540.1149     484.6801     414.7094     411.7619     287.1018     216.3958     235.7069     323.8731     456.3863    1303.8641     458.9476    3396.8828     814.7494
      95   11021.2583     529.4568     604.8457     788.3148     510.0118     436.8835     427.5513     372.2805     321.8000     315.0120     329.3062     433.6201    1236.6967     545.6390    3243.4333     926.4065
