#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      56    9405.9831     786.3525     512.3265    1077.9788     305.7398     185.0301     179.7789     200.4806     223.5821     181.5616     159.2853     166.0683     169.5201     180.9261     209.0067     253.9913     379.6727    3194.8808    1039.8008
      57    9622.2234     603.7578     466.9707    1801.0557     389.5038     259.5099     214.5078     237.8585     359.0938     323.2672     217.7146     207.6316     301.8614     311.7243     255.1531     225.8131     285.7693    2470.2500     690.7811
      58   10911.9617     535.3931     396.4798    1575.1349     652.2965     315.8361     236.3197     345.7260     481.8445     354.2195     338.3164     277.4217     255.3495     301.7964     316.1191     283.7531     483.7533    2960.3418     801.8601
      59   12173.4919     589.1620     396.9466    1283.8731     365.2211     416.5353     406.4531     363.2080     444.7752     376.1493     282.8387     355.7780     534.8004     618.8352     706.2349     559.5435     510.0990    3435.3390     527.6995
      60   10702.3710     693.2955     528.7181    1562.2627     329.6551     249.7134     245.9039     304.7960     396.4979     435.5067     249.1852     335.8568     349.3348     302.3627     258.4061     289.7900     379.1572    3080.2282     711.7007
      61   10376.0908     637.4290     507.8163    1463.1271     354.8936     284.8709     244.9673     219.0380     221.5502     331.7392     497.9873     414.7839     370.2091     380.5762     278.6724     234.2144     292.5289    2644.2147     997.4720
      62   10450.2128     313.0597     239.1611    1537.1431     568.7703     581.4454     293.0313     210.0687     207.3027     209.2136     266.7108     439.0598     253.9840     216.0135     265.7437     326.1502     303.2817    3174.7600    1045.3132
      63   10075.1474     424.9068     376.2986    1887.1174     603.2681     506.9970     528.5534     337.0813     212.4859     186.3100     187.6338     196.5025     234.2473     247.2501     253.5033     224.6568     317.8150    2343.0155    1007.5046
      64   12382.6847     361.2724     367.1013    1747.8004     649.4116     578.7001     604.5022     475.1133     433.7098     352.6499     285.7727     266.2820     259.7738     317.5991     312.3060     551.7174     935.1289    3298.6090     585.2348
      65   11978.3210     409.9339     335.5584    2393.7875     516.1951     373.7910     352.6734     260.5876     239.9316     321.1025     485.4886     409.9723     318.3753     274.1386     291.2188     274.3104     314.3392    3058.4795    1348.4373
      66   12651.1435     709.1769     780.2257    1519.2897     357.0851     262.3943     260.8425     409.3571     393.7096     415.2639     381.9887     365.5955     317.1395     554.7361     500.0689     542.1282     446.0643    3407.7447    1028.3328
      67   11523.0869     528.1478     389.0026    1398.9673     598.0942     475.9197     333.9025     218.0353     216.7372     365.2952     400.5420     293.4331     271.8942     340.5669     446.3763     457.9516     423.4216    3668.5597     696.2396
      68    9787.7185     580.7203     593.2915    1186.1900     500.9869     426.0412     250.7083     223.3695     248.6612     263.0375     230.6787     207.4545     209.2600     218.9515     249.3305     330.7288     426.2296    2770.4970     871.5814
      69   11842.4007     381.4370     481.4017    1331.1775     386.2819     338.1354     312.8659     251.2529     254.7923     317.2849     417.3158     425.9366     484.4748     349.9484     355.0147     544.0807     617.1139    3817.1080     776.7783
      70    7755.0901     305.9980     256.0171     859.3206     275.4463     226.9249     309.5384     374.4736     371.9651     318.5203     238.7047     251.2971     225.3519     202.8737     195.5994     202.9638     325.6714    2250.2971     564.1266
      71   12683.7782     516.9045     475.6333    1903.6074     474.9636     296.9500     250.0363     353.4231     568.7559     439.9085     548.7383     445.8268     551.1995     345.3408     227.2168     276.0209     363.5387    3765.3717     880.3420
      72   11360.3261     438.4772     522.7205    1593.9737     580.0756     459.4605     323.0658     515.2691     432.5809     307.7676     361.1103     471.3928     375.8044     249.4621     247.5255     246.9196     410.8657    2638.3103    1185.5445
      73   12307.5589     770.0407     536.7730    1704.1921     484.9583     298.0416     349.5175     401.2311     329.2785     279.3516     383.2139     426.5708     401.0291     450.2980     336.8210     307.2181     407.3725    3551.2828     890.3683
      74    9605.7853     488.3118     445.8090    1234.4251     336.7040     204.5813     239.0661     337.6701     382.9200     383.4784     290.9548     238.8098     219.3990     218.6366     211.8280     220.9838     228.1244    3030.6137     893.4693
      75   11016.4604     562.0779     671.8583    1137.9620     411.5214     384.6435     472.1464     557.1319     440.4529     419.4472     361.6452     344.9632     297.7697     257.7058     391.3998     312.9543     323.7629    2706.4429     962.5751
      76   10272.6563     497.2497     571.4412    1175.2682     500.9454     465.3738     458.3465     373.5613     253.3802     283.8827     242.5129     184.1019     193.2033     207.8585     203.7753     211.1395     306.6909    2993.4966    1150.4285
