#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     127    7655.2598     485.3871     624.7363    1718.5590     415.2242    3593.4416     817.9117
     128    6308.6545     739.8757     539.7118    1168.2737     418.0152    2774.1011     668.6770
     129    6578.1654     423.5894     451.6484    1528.2666     422.3448    2976.2914     776.0248
     130    8246.1749     441.7306     437.9947    1817.2215     476.3385    4187.5489     885.3408
     131    6744.4100     504.1206     433.8484    1669.5964     557.6520    2865.5931     713.5994
     132    5822.5780     498.3777     450.7509     936.5545     444.7421    2793.9335     698.2193
     133    6905.4356     597.2808     503.0595    1787.1009     510.8462    2938.6482     568.5000
     134    7515.7317     603.9656     619.0191    1460.7266     566.6039    3456.7203     808.6962
     135    6007.1818     432.7823     314.2024    1195.0563     375.8789    2954.9102     734.3517
     136    7176.1380     534.7237     503.6821    1440.8770     537.9491    3338.4810     820.4250
     137    6315.3609     328.0198     239.2857    1283.3520     439.1696    3157.4349     868.0989
     138    7348.3944     385.5832     528.9064    1225.9855     541.5557    3745.4725     920.8912
     139    5756.7120     404.9017     324.7688     946.4775     428.4919    2895.6009     756.4713
     140    6059.4507     387.9502     442.8980    1340.1638     445.1930    2862.0877     581.1580
     141    6616.5416     309.8642     253.2609    1393.5979     467.8135    3427.3740     764.6312
     142    5946.5095     378.5188     325.2407    1206.2088     352.7637    2886.1275     797.6500
     143    7189.6595     732.9781     531.2234     955.9718     409.9966    3583.3229     976.1667
     144    5359.1497     352.0907     379.5025    1054.2304     365.6536    2568.0458     639.6267
     145    6412.2246     343.2833     458.6108    1058.9228     408.9725    3272.6299     869.8054
     146    7064.4987     734.2396     522.3577    1595.1734     546.7607    2861.2623     804.7050
     147    6350.8376     323.9386     363.1913    1348.4186     475.4094    3106.9268     732.9530
     148    5704.6834     419.5010     329.7863    1081.1589     342.2623    2764.4207     767.5542
     149    6434.2312     330.2807     329.5040    1339.4686     468.0379    3265.6219     701.3180
     150    5466.9044     309.9465     257.5573    1422.2092     583.3783    2001.1460     892.6672
     151    7788.7735     448.0765     459.7848    1904.1472     610.5899    3498.1595     868.0156
     152    4639.3178     510.6684     340.9482     849.6702     371.6621    2069.8052     496.5635
     153    6399.6760     497.7178     634.4299    1619.3009     484.7982    2300.2598     863.1694
     154    4898.8231     385.1144     290.2767    1236.5243     347.2893    2105.6772     533.9412
     155    7293.5744     545.3768     608.7359    1448.4019     412.5544    3504.3867     774.1188
