#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
      71    9593.5558     789.2779     282.9849     258.3870     352.3678     610.4454     497.3573     309.9607     298.9942    1476.0522     489.9095    3584.0040     643.8149
      72    9525.8478     421.3422     362.5712     520.6805     633.4191     427.0895     310.3480     264.9675     284.6030    1406.8869     488.0860    3455.9267     949.9272
      73    8823.6126     506.2931     583.4418     746.7391     525.0897     374.4314     326.0706     266.7225     290.8014    1479.5214     494.9509    2645.8863     583.6643
      74    8387.5610     439.4940     286.8582     226.1304     252.1048     378.6272     539.3509     677.5027     519.1793    1149.0483     433.9121    2836.1775     649.1757
      75   10230.2623     484.2530     409.4530     300.0785     315.0639     458.7516     684.3031     732.2946     792.7243    1759.1593     642.5594    2935.8221     715.7997
      76    7948.7056     537.2922     410.4054     453.1037     405.0061     207.0707     190.9094     237.3692     310.1092    1197.8219     478.5407    2827.5237     693.5534
      77    8545.6096     551.1901     469.7069     498.0544     529.4587     411.9042     384.3799     333.3700     462.8622    1214.3381     386.8665    2400.4214     903.0572
      78    9220.9615     424.9302     333.3568     374.9536     377.1319     471.3502     569.2198     428.4067     290.6832    1698.3963     729.1538    2698.1575     825.2214
      79    6937.1114     448.7931     331.1534     327.7963     229.3399     207.4813     254.6289     248.8051     254.9835     985.4476     385.6028    2741.9118     521.1677
      80    9469.2422     557.6813     491.3132     664.6523     705.1799     489.6815     303.3254     318.1559     458.4409    1502.0765     607.3235    2842.5155     528.8963
      81    9784.7386     454.6768     556.4749     478.2342     260.1741     257.4482     419.8897     707.7092     439.1714    1478.6298     510.9811    3621.8047     599.5444
      82    8747.7655     619.9025     558.9520     498.6587     341.4049     233.4787     216.2737     260.0310     337.7228    1099.4242     419.1269    3421.3565     741.4337
      83    7128.1841     547.0222     278.9810     245.7504     248.4151     303.9867     312.2507     244.2904     334.4754    1296.5285     436.5759    2277.8200     602.0878
      84    8918.8993     531.9024     568.3479     493.1694     380.3258     257.4234     330.4560     334.8347     312.0062    1491.1664     524.2554    3012.0517     682.9599
      85    8665.8102     308.7743     270.7059     369.7920     279.0710     269.0950     383.6922     433.5353     339.7766    1392.7118     477.6252    3414.1801     726.8508
      86    8660.9716     307.0183     303.2012     299.4771     223.9352     184.6794     206.2284     323.5523     426.4787    2129.1523     510.7235    3020.1063     726.4189
      87    9107.3511     418.1833     394.4446     349.4528     389.9434     403.3890     276.7841     310.5958     328.1824    1381.8952     533.0831    3610.8139     710.5837
      88    9417.4377     394.5641     393.2380     518.7116     406.1481     367.1972     338.4138     267.4757     295.0649    1702.7471     480.6917    3436.4101     816.7754
      89   10756.8492     614.5868     366.0481     591.3251     533.9108     319.5920     332.6071     281.4845     250.3163    1809.1341     712.1900    3661.0798    1284.5744
      90    9005.9980     375.2491     452.0512     510.3211     357.7292     251.7970     226.0083     278.9913     383.6008    1202.3888     634.7798    3202.7056    1130.3758
      91   10423.2051     633.9922     810.0617     458.6121     362.0818     237.7761     329.1911     359.1372     413.2222    1707.5675     814.9006    3279.2029    1017.4597
      92    7393.8524     588.4471     432.5030     204.4337     187.9117     198.2408     203.6225     247.2170     337.4496    1076.1801     445.2095    2679.6510     792.9863
      93    8883.1075     589.2185     429.9629     423.1445     438.1178     304.8635     363.0275     321.7568     442.6072     940.4882     446.1848    3182.3742    1001.3616
      94    7825.9177     326.0576     218.4354     248.8712     367.3062     323.2861     336.4289     385.3065     293.0022     875.4140     406.8448    3118.9249     926.0400
      95    7823.2061     646.1723     313.5066     230.4688     222.0115     247.1665     243.1846     212.9828     235.8919     902.0917     350.1392    3276.2952     943.2950
      96    7574.1328     453.6430     379.7261     281.9497     277.2791     228.8073     234.7543     230.5460     248.5740    1421.2564     580.5539    2664.8827     572.1602
      97    8892.6848     830.5138     434.5314     294.0841     266.9423     235.5519     267.8529     264.0248     260.2960    1597.3951     534.1584    3276.5805     630.7536
      98    7886.7354     375.2487     280.8633     322.9775     306.1680     210.1423     212.7809     325.7294     350.6807    1275.1648     580.2901    2677.5058     969.1838
      99    7065.8651     468.7654     434.3862     370.1412     222.1933     167.1457     171.2133     170.3984     226.4825    1155.3829     513.0212    2618.9082     547.8268
     100   11419.3816     499.6348     454.1238     485.4239     616.0580     766.8063     443.7706     248.8876     267.1739    1607.4409     633.5201    4338.7623    1057.7794
     101   10940.4521     513.6838     435.3718     404.8103     430.0497     490.7875     477.5561     479.7493     402.6203    1762.9911     567.2946    3907.3429    1068.1948
     102    8196.8967     620.1260     428.2765     232.1528     202.9366     195.9879     195.1799     221.4253     250.0214    1593.9846     433.5671    3149.8247     673.4139
     103    8707.7830     483.7613     346.4096     353.5865     619.8412     635.4932     353.8311     291.0694     339.6576    1482.8758     515.4813    2507.3368     778.4393
     104    9199.7902     679.1966     575.1642     506.8604     374.9822     261.6800     215.9234     236.4276     308.2049    1540.6930     784.5462    2740.1566     975.9551
     105    8679.3549     453.7070     353.1125     377.7044     378.5760     351.1413     330.5676     379.9388     419.0459    1733.3014     605.0955    2528.9203     768.2444
     106    8634.8262     402.1987     272.0066     289.5029     292.9530     259.9605     337.2168     378.3467     526.2971    1459.4899     698.4259    2788.7962     929.6318
     107    7108.2627     554.6068     343.4769     254.2736     225.9477     228.4628     274.7948     344.2183     345.3559    1137.2991     552.3863    2110.1329     737.3076
     108    9982.6775     458.9448     410.2409     350.7809     247.8684     271.9776     279.2573     383.8364     324.8574    1715.6823     484.7970    4218.0193     836.4154
     109    8122.6192     559.6140     394.4592     356.4023     418.1501     299.1235     279.3045     301.9067     414.1115    1459.8658     584.6661    2485.7401     569.2756
     110    7573.4347     484.4103     263.0260     228.3906     254.9651     252.4974     227.2406     293.5817     402.7024    1072.1418     390.4309    3014.4503     689.5977
     111    6700.5084     391.8083     329.3683     257.0009     248.5017     222.2803     199.3844     192.6664     238.4798     955.3315     315.3408    2488.3099     862.0363
     112    7408.6502     395.5006     327.9899     343.7245     299.3358     278.0368     278.7473     239.3406     239.6303     893.5043     411.1601    2903.2600     798.4199
     113   10929.3314     743.7698     548.8950     433.1836     336.8333     401.4581     416.6210     458.1690     647.3264    1705.6065     820.8586    3659.2837     757.3263
     114    8511.9029     572.9198     364.9754     262.3578     252.0662     300.5766     378.4645     296.4051     247.6849    1775.4090     584.1430    2713.3333     763.5675
     115    7368.7404     370.6772     379.4620     419.1960     377.7700     383.6312     398.9615     345.5720     276.9913    1040.4224     414.8843    2318.3783     642.7942
     116    9446.5826     468.9963     398.6426     419.0636     550.2886     481.9124     516.6424     387.5119     263.3734    1362.5193     421.9197    3427.4973     748.2152
     117    8966.1642     887.2477     485.6774     326.1380     306.5083     233.0661     170.0523     161.9351     238.8195    1396.6204     538.5114    3211.6563    1009.9317
     118    8578.9369     637.8286     273.1811     196.8143     208.6082     254.3693     284.8024     297.7476     402.5520    1646.1778     621.7181    2815.2148     939.9227
     119    9621.5707     494.8085     370.1421     372.1045     427.7367     483.2689     367.8005     344.6025     425.3629    1502.6787     629.2497    3263.7933     940.0223
     120    9407.2426     683.4117     620.7435     467.4475     322.5856     287.2879     329.3694     493.9171     679.1680    1341.2647     600.2024    2704.0172     877.8276
     121    9467.2219     684.5821     446.0181     437.0653     391.7914     293.2989     225.5627     223.9165     334.8193    1352.8473     647.8997    3277.0608    1152.3600
     122    8439.4470     621.7644     411.4174     314.2460     247.9207     281.4482     314.7958     379.2346     486.5844    1188.3388     554.5656    3092.0274     547.1036
     123    9335.6504     578.2976     456.2514     323.0284     255.8734     284.1675     292.2822     213.2501     227.8996    1887.1155     669.0614    3294.9552     853.4683
     124    9052.0521     364.6751     285.1790     370.9577     460.7496     400.6627     344.1359     283.7803     307.9742    1464.8797     661.9892    3268.5726     838.4962
     125    7451.9764     399.0869     460.3840     615.0870     456.9394     363.4328     294.0699     322.5612     401.5315    1173.8874     317.1026    1924.6734     723.2203
     126    8505.0310     317.4257     209.1016     187.0178     175.1546     196.8617     267.6652     324.7142     368.4763    1559.1605     536.7150    3572.2026     790.5357
     127    6891.4435     313.0363     206.8102     166.5945     171.6163     153.1192     177.3564     175.8938     269.9780    1199.7411     522.4034    2798.7818     736.1124
     128    9244.8017     672.2455     428.3356     407.7600     351.9943     325.8657     274.6365     320.7972     459.5708    1887.1169     521.5662    2802.6890     792.2239
     129   11258.1564     504.0123     570.0130     338.0391     321.2810     235.4579     281.1464     496.3339     627.0536    1713.9445     766.3884    4601.2191     803.2671
     130    8937.7901     651.8962     413.9732     239.8883     215.7207     232.8547     290.4752     431.4186     375.7114    1413.7954     537.2352    3146.1140     988.7073
     131    7553.9634     423.2971     396.3728     244.0378     287.6490     354.6477     319.7805     295.9562     342.3270    1469.9533     556.7235    2081.6588     781.5597
     132    7595.2251     358.3808     242.9312     279.2657     335.6123     258.6091     187.5014     196.0990     252.9032    1206.6921     445.6683    3086.0832     745.4788
     133    8779.9109     535.9198     439.2568     492.3237     383.3795     353.3511     470.2135     276.2120     251.3329    1126.8693     457.0394    3309.5696     684.4434
     134    9477.9778     795.5249     497.7474     387.3461     394.7967     570.5486     522.5498     349.1340     403.8603    1112.9526     464.4315    3051.3020     927.7841
     135    7292.4093     433.6924     323.0499     260.3351     234.4131     224.2317     221.4923     230.7313     260.7343    1019.1574     445.0725    3014.4615     625.0377
     136   11719.4830     819.9961     860.4624     570.3906     391.8650     231.6304     218.2752     235.0354     353.0744    1826.6056     661.2138    4645.5748     905.3593
     137    9575.8412     388.6758     430.3083     399.1743     490.1949     601.8785     317.3587     282.0472     407.7739    1387.7841     430.0837    3721.8295     718.7325
     138    9940.8464     670.8450     545.0696     308.0812     253.1871     316.9264     262.1130     459.5002     496.5446    1830.4512     637.6557    2875.1260    1285.3463
