#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     207    5938.2227     655.2490     473.7937    2218.4933     510.0469    1343.7791     736.8606
     208    6908.7375     331.1294     310.5087    3395.0671     602.2466    1588.8424     680.9433
     209    6552.2287     482.8092     419.2793    3299.7344     551.5606    1017.7379     781.1074
     210    6397.6018     345.6579     306.5759    2965.0364     659.5551    1189.1478     931.6287
     211    4894.2587     434.4665     328.1775    2364.0693     336.4175     914.7335     516.3944
     212    6515.5152     379.9837     357.2500    3213.2861     454.9086    1325.6784     784.4084
     213    5033.2026     311.9358     285.7755    2170.0203     458.3508    1142.4167     664.7035
     214    5421.5253     329.3649     268.6145    2491.2664     531.0097    1148.3924     652.8774
     215    6231.5963     507.6393     382.2793    2814.1952     492.1023    1131.3206     904.0596
     216    7599.8291     582.3844     452.6865    3864.2364     541.0374    1250.1277     909.3566
     217    5259.0046     332.3249     301.7443    2517.0649     418.0778     953.2278     736.5649
     218    5331.2605     367.0317     362.0826    2530.5343     462.4020     942.3678     666.8420
     219    5346.5077     370.1695     350.4160    2542.2771     385.5433     987.2465     710.8553
     220    5345.6559     402.0979     417.8006    2477.3153     510.0052    1024.7410     513.6960
     221    6746.1656     372.2198     471.4199    3348.2283     584.4646    1072.5011     897.3318
     222    6720.3870     592.8078     470.8181    2573.8865     563.6829    1790.8560     728.3357
     223    6490.8142     715.2624     483.9764    2890.9038     566.3723    1089.1904     745.1088
     224    5456.8166     549.3310     380.8782    2455.6139     388.2471    1058.8773     623.8691
     225    5921.4659     472.2097     333.8580    2485.0389     548.2106    1280.8903     801.2585
     226    6742.3908     468.3928     633.1829    2565.2550     683.6570    1411.6269     980.2761
     227    6162.9488     514.4539     445.9024    2565.2463     533.7330    1201.8054     901.8079
     228    5529.9852     344.5052     298.7383    2692.6379     463.8410     941.3786     788.8842
     229    5963.2954     336.9090     304.8999    2788.3155     554.4820    1137.9848     840.7043
     230    8152.1106     746.6518     556.4929    3849.9369     750.4495    1355.3588     893.2207
     231    5114.1423     321.2478     278.6965    2241.0002     373.4803    1264.2937     635.4237
     232    6316.6784     561.8592     649.4409    2119.6762     547.8416    1708.4433     729.4172
     233    6025.4406     502.1614     353.7138    2788.3746     547.5555    1191.7046     641.9306
     234    6479.9264     407.0748     466.3434    2922.1232     484.3426    1324.4850     875.5575
     235    6046.6125     328.5481     297.2741    2860.3131     626.0751    1115.7558     818.6462
     236    5819.5246     454.2627     479.6700    2577.7298     452.0932    1191.4689     664.3000
     237    7147.1835     625.5173     595.4102    3074.0934     590.9414    1213.6715    1047.5497
     238    6067.2546     419.1831     321.8575    2467.8062     567.6447    1428.2300     862.5330
     239    4633.5973     466.4392     365.4032    1954.9154     344.5037    1038.5732     463.7627
     240    6958.1311     403.1022     455.7577    3424.4963     551.4779    1148.1022     975.1948
     241    5172.1876     354.8172     393.9369    2455.4642     366.3236    1118.8197     482.8260
     242    7070.0690     412.4419     483.4739    3290.5435     577.6633    1377.0041     928.9423
     243    6732.8914     344.4672     375.4828    3369.0059     558.1655    1256.5271     829.2429
     244    7349.5531     731.0386     518.7156    3397.4799     560.9938    1163.8237     977.5015
     245    7914.0847     689.0827     501.5579    3476.1284     515.8002    1697.4442    1034.0713
     246    6104.9388     770.2952     536.0991    2328.1288     521.9586    1396.1567     552.3004
     247    5771.4027     495.9279     379.6494    2357.3563     566.7020    1272.1360     699.6312
     248    6091.2753     370.7624     465.3469    2849.8080     555.6324    1231.0796     618.6461
     249    5287.4297     397.8356     446.1117    2340.3698     429.5697     947.1467     726.3962
     250    6880.7705     322.5411     294.1994    3301.7038     484.7364    1476.9067    1000.6832
     251    5562.0538     427.2069     320.2227    2444.3873     440.6021    1373.8705     555.7642
     252    7668.8024     850.0902     823.3262    3422.9000     606.4088    1258.2427     707.8345
     253    5311.3861     433.9261     316.2033    2318.8371     392.4355    1280.3524     569.6318
     254    4852.0758     320.7875     282.9180    2227.3734     387.8264     933.1610     700.0095
     255    6135.5151     530.3468     429.2154    2987.3195     376.1498    1030.9512     781.5324
     256    5241.2885     326.2595     281.3999    2350.1839     426.8680    1069.4242     787.1530
     257    5380.1329     304.5269     256.6985    2364.6701     471.9635    1240.6794     741.5945
