#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     101    6558.7076     532.6031     437.9900    1325.5872     373.6136     362.6319    2621.5868     904.6950
     102    6900.2051     638.2167     381.1086    1730.3364     323.8220     296.3554    2637.6586     892.7075
     103    6340.7085     527.1742     436.9680    1659.3545     418.5909     368.2985    2057.9214     872.4009
     104    6517.0548     559.1326     464.8915    1150.5147     369.1586     365.1906    3073.0321     535.1349
     105    5422.9593     345.6304     373.1014     860.9094     316.8414     374.0573    2484.9131     667.5064
     106    8039.6756     590.7441     637.4213    1728.2716     534.9518     348.7366    3239.6590     959.8912
     107    6487.0085     548.0474     469.4245    1378.2129     479.9393     349.2188    2624.3417     637.8239
     108    6497.0680     510.4423     472.0866    1005.6868     331.4377     315.1197    2894.4802     967.8147
     109    5348.8353     304.3195     237.5408    1141.6627     424.5380     431.2665    2291.4471     518.0607
     110    5712.7345     493.9654     333.8684    1223.1614     338.1434     308.6017    2538.0684     476.9259
     111    4690.9614     321.2738     317.5491     876.7806     306.0731     326.7317    2017.6044     524.9487
     112    6514.8708     695.3688     391.1707    1509.2914     376.5948     355.9793    2525.6464     660.8193
     113    6981.8425     339.4318     320.6633    1499.4642     561.1866     383.1110    3015.0298     862.9558
     114    6909.0833     701.2762     640.1804    1253.4825     374.3694     343.4733    2932.9800     663.3216
     115    6285.9721     307.7539     278.3449    1095.1282     417.2103     324.1771    3094.8745     768.4832
     116    6331.8044     342.0588     290.6103    1144.8819     455.5444     382.6595    3031.3463     684.7032
     117    5034.1978     346.2626     277.6767    1202.3318     275.6587     337.6787    1906.1945     688.3948
     118    6139.3808     332.0905     302.3303     980.5116     343.3394     319.7605    3069.6592     791.6892
     119    6351.8341     768.5266     495.2519    1468.7479     397.9934     280.7944    2090.0063     850.5136
     120    6666.4403     518.0325     588.5173    1033.7900     474.2350     395.7829    2816.2532     839.8294
     121    5608.3449     410.8393     284.2978    1319.7081     414.4111     369.8561    2267.4736     541.7589
     122    6966.1270     334.9250     375.7080    1552.3351     523.8585     416.7561    3199.7247     562.8197
     123    7988.9787     402.3853     374.5745    1697.9075     503.9238     379.6858    3863.5128     766.9890
     124    6603.1561     411.2154     314.7200    1162.0155     432.7761     355.3348    3166.3450     760.7493
     125    5811.0059     438.8064     364.3101     915.0256     348.4139     400.0764    2633.9842     710.3892
     126    7847.9112     448.0956     422.5810    1618.5335     458.5889     334.7523    3565.1102    1000.2497
     127    7552.7582     525.5471     540.9126    1221.2852     486.3022     464.3724    3453.0213     861.3173
     128    7678.2353     420.0221     354.0648    1661.5738     485.2092     390.7458    3716.9418     649.6777
     129    7136.0619     339.2614     366.5608    1747.1669     404.8306     338.1187    3249.8467     690.2769
